name,capita,gdp,population
Austria,4553.1,10.1,8602112
Belgium,4255.9,10.2,11245629
Brazil,1470.9,9.1,204642000
Canada,4351.3,10.2,35749600
Chile,1623.1,7.4,18006407
China,649.3,5.6,1371100000
Colombia,864.2,6.8,48227400
Czech Republic,2039.6,7.1,10538275
Denmark,4553.4,10.4,5668743
Estonia,1542.1,6.0,1313271
Finland,3441.9,8.6,5478002
France,4123.8,10.9,66162000
Germany,4818.9,11.0,81083600
Greece,2366.4,9.2,10903704
Hungary,1719.5,7.4,9849000
Iceland,3677.0,8.7,329740
India,214.7,4.0,1274540000
Indonesia,293.3,2.9,255461700
Israel,2427.6,7.5,8358100
Italy,3076.6,8.8,60788845
Japan,3713.2,10.2,126950000
South Korea,2274.5,6.9,51431100
Latvia,1054.5,4.6,1980700
Lithuania,1572.6,6.1,2904391 
Mexico,1048.5,6.2,121005815
Netherlands,5130.9,11.1,16912200
New Zealand,3328.0,9.5,4597660
Norway,5862.4,8.9,5176998
Poland,1530.2,6.4,38484000
Portugal,2482.0,9.0,10477800
Russia,1652.9,6.5,146524812
Slovak Republic,2010.2,7.6,5421349
Slovenia,2511.2,8.7,2067386
South Africa,1121.3,8.9,54002000
Sweden,4904.1,11.0,9784445
Switzerland,6325.2,11.1,8256000
Turkey,941.2,5.1,77695904
United Kingdom,3234.8,8.5,64800000
United States,8713.3,16.4,321463000